PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
17/01229/B,Hope Cottage Poortown Peel Isle Of Man IM5 2AN ,Erection of single storey extension and replacement of existing storm porch,Permitted,26-Jan-18,Principal Planner- North (CB)
17/01230/B,Lhergydhoo Farm House Lhergydhoo Peel Isle Of Man IM5 2AE ,Replacement of conservatory with extension to provide additional living accommodation,Permitted,24-Jan-18,Head of Development Management
17/01231/B,116 Ballacriy Park Colby Isle Of Man IM9 4ND,Creation of access in to field from garden (retrospective),Refused,16-Aug-18,Principal Planner- North (CB)
17/01232/B,Wickenbank Port Lewaigue Close Port Lewaigue Ramsey Isle Of Man IM7 1AH,"Replacement of existing concrete tiled roof with natural slate roof, including new soffits/fascias and installation of three roof lights to north east elevation",Permitted,07-Feb-18,Head of Development Management
17/01233/B,Ard-Ny-Shee 3 Viking Close Ballakillowey Colby Isle Of Man IM9 4BH,Conversion of existing garage in to studio and cold store,Permitted,25-Jan-18,Principal Planner - South (SC)
17/01234/B,Crag Vannin Lower Dukes Road Douglas Isle Of Man IM2 4BN,Alterations and erection of extension,Refused,31-Jan-18,Principal Planner - South (SC)
17/01235/B,The Mount Chapel Lane Baldrine Isle Of Man IM4 6DG,Replacement of existing conservatory roof with tiled roof,Permitted,26-Jan-18,Principal Planner- North (CB)
17/01236/B,109 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JE,Erection of an extension to side elevation,Permitted,27-Mar-18,Head of Development Management
17/01237/B,Hall Clenagh Road Sulby Isle Of Man IM7 3AB,Erection of attached accessible toilet to side elevation,Permitted,07-Feb-18,Head of Development Management
17/01238/B,Arbory House Glen Road Colby Isle Of Man IM9 4HW,Conversion of two properties to form a single dwelling including the erection of a first floor extension and a double garage,Permitted,24-Apr-18,Principal Planner - South (SC)
17/01239/B,The Cottage Main Road Kirk Michael Isle Of Man IM6 1ER,Replacement of existing roof tiles with Marley Eternit fibre cement tiles,Permitted,16-Jan-18,Principal Planner- North (CB)
17/01240/B,Ard-Ny-Shee 3 Viking Close Ballakillowey Colby Isle Of Man IM9 4BH,Replacement of existing shed with new shed,Permitted,25-Jan-18,Principal Planner - South (SC)
17/01241/B,The White House Douglas Road Ballasalla Isle Of Man IM9 2EP ,Erection of timber car port,Permitted,26-Jan-18,Principal Planner- North (CB)
17/01242/B,Barnston Cottage Glen Road Laxey Isle Of Man IM4 7AJ,Replacement PVC door and side panel to front elevation,Refused,18-May-18,Principal Planner- North (CB)
17/01243/D,24 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ,Installation of illuminated and non-illuminated signage,Permitted,03-Jan-18,Principal Planner - South (SC)
17/01244/GB,Elderbank The Crofts Castletown Isle Of Man IM9 1LW,Erection of bathroom extension and replacement conservatory (in connection with registered building application 17/01245/CON),Permitted,22-Feb-18,Head of Development Management
17/01245/CON,Elderbank The Crofts Castletown Isle Of Man IM9 1LW,Registered Building consent for the erection of bathroom extension and replacement conservatory - RB 259 (in connection with application 17/01244/GB),Permitted,22-Feb-18,Head of Development Management
17/01246/GB,Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP,Creation of doorway in place of existing window to provide level access (in connection with registered building application 17/01247/CON),Permitted,05-Jan-18,Head of Development Management
17/01247/CON,Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP,Registered Building consent for the creation of doorway in place of existing window to provide level access - RB 169 (in connection with planning application 17/01246/GB),Permitted,05-Jan-18,Head of Development Management
17/01248/B,Workshop & Yard & Premises Mill Road Peel Isle Of Man IM5 1TB ,Use of premises for car washing and valeting (retrospective) and installation of wash bay with associated equipment and silt trap,Permitted,05-Feb-18,Principal Planner- North (CB)
17/01249/D,Workshop & Yard & Premises Mill Road Peel Isle Of Man IM5 1TB ,Installation of non-illuminated signage (retrospective),Permitted,05-Feb-18,Principal Planner- North (CB)
17/01250/B,Offices Above   67 Strand Street Douglas Isle Of Man IM1 2EN,Conversion of upper floors from offices to four residential units,Permitted,16-Jan-18,Planning Committee
17/01251/B,24 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ,Installation of a replacement shop front and roof plant,Permitted,18-Jan-18,Head of Development Management
17/01252/B,Shop Orchard Street Port Erin Isle Of Man IM9 6AJ,Alterations to property in connection with a change of use from retail to funeral directors,Permitted,30-Jan-18,Planning Committee
17/01253/D,Whitestone Garage Mercedes-Benz Of Mann Douglas Road Ballasalla Isle Of Man IM9 2LB ,Installation of illuminated and non illuminated signage,Permitted,01-Feb-18,Principal Planner - South (SC)
17/01254/B,Glen Helen Lodge Glen Helen St Johns Isle Of Man IM4 3NP ,"Demolition of former Glen Helen Inn and erection of a single storey welcome centre with cafe facility, and the erection of 12 glamping pods for tourist accommodation",Permitted,16-Apr-18,Department Application
17/01255/B,Raldis Dandy Hill Port Erin Isle Of Man IM9 6HN,Replacement white pvc sliding sash windows to front elevation,Permitted,25-Jan-18,Principal Planner - South (SC)
17/01256/B,3 Hollydene Avenue Onchan Isle Of Man IM3 3HB,Installation of a flue,Permitted,18-Jan-18,Head of Development Management
17/01257/B,Rowan Garth 2 Braddan Bridge Braddan Douglas Isle Of Man IM4 4TL,Alterations and extension to rear of property,Permitted,12-Feb-18,Principal Planner - South (SC)
17/01258/B,Glendown Grove Mount Ramsey Isle Of Man IM8 3HQ,Alterations to existing garage to provide larger opening,Permitted,13-Feb-18,Principal Planner - South (SC)
17/01259/B,Mount Murray Ballacutchel Road Mount Murray Douglas Isle Of Man IM4 2HT ,"Alterations and additions including partial reinstatement of floor area to North East side of amenity block, construction of retaining wall, additional accommodation in amenities building, alterations to lobby/entrance and additional windows to serve acco",Permitted,30-Jan-18,Planning Committee
17/01260/B,Newstead Ramsey Road Laxey Isle Of Man IM4 7PY,Installation of a flue,Permitted,12-Feb-18,Principal Planner - South (SC)
17/01261/B,Ballakewin Old Farmhouse Foxdale Road Ballasalla Isle Of Man IM9 3ET,Erection of detached double garage and WC extension to home office,Permitted,22-Feb-18,Head of Development Management
17/01262/B,Chequers Garey Ramsey Isle Of Man IM7 2EQ ,External alterations and extension to provide additional garaging,Permitted,16-Feb-18,Principal Planner - South (SC)
17/01263/B,33 Michael Street Peel Isle Of Man IM5 1HD,Conversion of a retail unit (Class One) to a public house (Class Three),Permitted,09-Feb-18,Head of Development Management
17/01264/B,Cronk Coar Quarterbridge Road Douglas Isle Of Man IM2 3RJ,Erection of a detached building to provide sunroom and gym to replace an existing garage,Permitted,24-Jan-18,Head of Development Management
17/01266/B,Ainslie Ramsey Road Laxey Isle Of Man IM4 7PX,Alterations and extensions to property including single storey extension to rear and alterations to porch,Permitted,01-Feb-18,Principal Planner - South (SC)
17/01267/B,Golf Clubhouse Mount Murray Ballacutchel Road Mount Murray Douglas Isle Of Man  ,"Extensions and alterations including adjustments to southern elevation, alterations to entrance and creation of additional storage",Permitted,26-Jan-18,Principal Planner- North (CB)
17/01268/B,Ballaoates Cottages East Baldwin Isle Of Man IM4 5EN ,Erection of two storey extension to provide additional ancillary living accommodation,Permitted,03-Apr-18,Principal Planner- North (CB)
17/01269/B,Site Adjacent To Close Veg Glen Darragh Road Glen Vine Isle Of Man  ,Alterations and erection of extension to existing agricultural building / workshop (forming amendments to PA 16/00892/B),Permitted,18-Jan-18,Head of Development Management
17/01270/A,6 - 7 Fort William Head Road Douglas Isle Of Man IM1 5BG ,Approval in principle for the demolition of existing building and the erection of a dwelling,Refused,09-Mar-18,Principal Planner - South (SC)
17/01271/B,Glen Luce Station Road Ballaugh Isle Of Man IM7 5AL,"Alterations and additions including pitched roof over existing flat roof area, installation of 4 dormers and cladding of garage and porch in timber",Permitted,18-Jan-18,Head of Development Management
17/01272/B,7 Church View Braddan Douglas Isle Of Man IM4 4TF,Erection of single storey extension and installation of new window at first floor level,Permitted,27-Mar-18,Head of Development Management
17/01273/B,5 Cherry Walk Douglas Isle Of Man IM2 5NS,Erection of two storey extension to the side of property,Permitted,18-Jan-18,Head of Development Management
17/01274/B,1 Bathurst Street Douglas Isle Of Man IM2 3HH ,Installation of extractor flue on gable (retrospective),Permitted,09-Mar-18,Principal Planner- North (CB)
17/01275/B,69 Derby Square Douglas Isle Of Man IM1 3LR,Installation of replacement windows to rear elevation,Permitted,18-Jan-18,Head of Development Management
17/01276/B,Park Farm Clannagh Road Santon Isle Of Man IM4 2HP ,Alterations and extensions to rear lobby area to create gymnasium,Permitted,20-Feb-18,Principal Planner - South (SC)
17/01277/B,12 High Street Port St. Mary Isle Of Man IM9 5DR,Replacement of existing windows and door to front elevation,Refused,25-May-18,Principal Planner - South (SC)
17/01278/B,"Vacant Site, East Of RL360 House Isle Of Man Business Park Douglas Isle Of Man  ",Construction of alternative entrance to car park,Permitted,09-Mar-18,Head of Development Management
17/01279/B,22 Windermere Avenue Onchan Isle Of Man IM3 2DT ,Alterations and extension including installation of new window to south west elevation and erection of sun room,Permitted,22-Feb-18,Head of Development Management
17/01280/C,29 Parliament Street Ramsey Isle Of Man IM8 1AT ,Change of use from office space to wellbeing centre,Permitted,13-Feb-18,Principal Planner - South (SC)
17/01281/B,2 Coburn Drive Ramsey Isle Of Man IM8 3PT,Alterations including installation of dormer and new front entrance,Permitted,18-Jan-18,Head of Development Management
17/01282/B,Apartment 2 Charles Street Close Peel Isle Of Man IM5 1DT ,Replacement of existing timber windows with white pvc sliding sash windows to front and white pvc casement windows to rear.,Permitted,20-Feb-18,Principal Planner - South (SC)
17/01283/B,British Hotel North Quay Douglas Isle Of Man IM1 4LB,Installation of replacement bay windows to front elevation,Permitted,20-Feb-18,Principal Planner - South (SC)
17/01284/B,Ash House 5 Camlork Close Strang Douglas Isle Of Man IM4 4TW,Replacement of existing conservatory glazed roof with tiles,Permitted,22-Feb-18,Head of Development Management
17/01285/B,Carrick Court Bay View Road Port St. Mary Isle Of Man IM9 5AL,Removal of chimney stack on side (north) elevation,Permitted,05-Feb-18,Principal Planner- North (CB)
17/01286/D,Shop Orchard Street Port Erin Isle Of Man IM9 6AJ,Installation of non-illuminated signage,Permitted,30-Jan-18,Planning Committee
17/01287/B,21 Albany Street Douglas Isle Of Man IM2 3LD,Alterations and erection of extension to rear elevation,Permitted,02-Mar-18,Principal Planner - South (SC)
17/01288/B,8 Pickard Close Castletown Isle Of Man IM9 1BB,Erection of an extension to replace existing conservatory,Permitted,26-Jan-18,Principal Planner- North (CB)
17/01289/B,94 Pine Grove Ballasalla Isle Of Man IM9 2EA,Erection of a conservatory to rear elevation,Permitted,24-Jan-18,Head of Development Management
17/01290/B,Bridge - Laxey River Mines Road Laxey Isle Of Man  ,Construction of service bridge on west (upstream) side of existing stone bridge,Permitted,02-Mar-18,Principal Planner - South (SC)
17/01291/B,The Cliffs Fairy Cottage Laxey Isle Of Man IM4 7BR ,"Conversion of existing outbuilding in to home office including raising of existing roof, erection of link extension to main house and installation of rooflight",Permitted,02-Mar-18,Principal Planner - South (SC)
17/01292/B,6 Grafton Street Douglas Isle Of Man IM2 3HD,"Demolition of existing kitchen extension and outbuildings within yard, and replacement with single storey extension",Permitted,25-Jan-18,Principal Planner - South (SC)
17/01293/A,Land Adj To Vollan Pumping Station Mooragh Park Ramsey Isle Of Man  ,Approval in principle for the erection of a community sport hall,Permitted,02-Mar-18,Planning Committee
17/01294/C,Flat 5 Brewery Wharf Castletown Isle Of Man IM9 1ES,Additional use of apartment as self-catering tourist accommodation,Application Withdrawn,04-Apr-18,Withdrawn
17/01295/B,124 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JB,"Alterations including replacement of existing conservatory roof with tiled roof, and replacement of one garage door with sliding glazed doors to facilitate use of part of garage as gym for one to one training sessions/lessons",Permitted,27-Mar-18,Planning Committee
17/01296/B,Unit C1 Block C Eden Business Park Douglas Isle Of Man IM4 2AY ,Creation of new window openings in North East elevation,Permitted,22-Feb-18,Head of Development Management
