PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
14/01390/B,7 Glen Elfin Road Ramsey Isle Of Man IM8 2HF,Widening of driveway and vehicular access (retrospective),09-Jan-15,Director Delegation,Permitted
14/01391/B,18 St Germans Place Peel Isle Of Man IM5 1BZ,Alterations and erection of extension to rear elevation of dwelling,13-Jan-15,Head of Development Management,Permitted
14/01392/B,Willowmead Ballaughton Meadows Douglas Isle Of Man IM2 1JG,Erection of extension to rear elevation to replace existing conservatory,07-Jan-15,Director Delegation,Permitted
14/01393/B,7 Drury Terrace Douglas Isle Of Man IM2 3HY,Installation of replacement windows,13-Jan-15,Head of Development Management,Permitted
14/01394/B,2 Groudle View Onchan Isle Of Man IM3 2EY ,Installation of a flue to dwelling,14-Jan-15,Head of Development Management,Permitted
14/01395/B,2 Coopers Close Kirk Michael Isle Of Man IM6 1EB,Alterations and erection of extension to rear elevation to replace existing conservatory,14-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01396/B,5 The Crescent Derbyhaven Isle Of Man IM9 1TX,Erection of a glazed porch to rear elevation,14-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01397/B,Kione Droghad Castle Hill Douglas Isle Of Man IM2 4AD,Construction of four concrete buttresses to stabilise the retaining wall to west side of property,07-Jan-15,Director Delegation,Permitted
14/01398/B,Cronk Geayee Ballagawne Road Colby Isle Of Man IM9 4BB,Alterations and extensions to dwelling,09-Jan-15,Director Delegation,Permitted
14/01399/B,Ballaharra Quarry Peel Road St Johns Isle Of Man IM4 3RB,Refurbishment of existing unit to incorporate a renewable energy micro-generation facility for the recycling of decomposable waste through anaerobic digestion,19-May-15,Planning Committee,Permitted
14/01400/B,East Loughan Jurby East Isle Of Man IM7 3EZ ,Conversion of existing detached barn into two tourist units,09-Jan-15,Director Delegation,Permitted
14/01401/B,Field 124014 Greenhill Jurby Road Andreas Isle Of Man  ,Extension to existing stable building,04-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01402/B,Field 124014 Greenhill Jurby Road Andreas Isle Of Man  ,Erection of a detached tack / rug room (retrospective),09-Jun-15,Director Delegation,Permitted
14/01403/B,The Rigs Mount Auldyn Ramsey Isle Of Man IM8 3PJ,Erection of a sun room extension to rear elevation,09-Jan-15,Director Delegation,Permitted
14/01404/A,Field 132150 Adjacent To Lezayre Church  Churchtown Ramsey Isle Of Man  ,Approval in principle for erection of a detached toilet block addressing siting,14-Apr-15,Withdrawn,Application Withdrawn
14/01405/B,10 Ellerslie / Garth Road Crosby Isle Of Man IM4 2AU ,Erection of a conservatory to dwelling (retrospective),10-Mar-15,Head of Development Management,Permitted
14/01406/B,Ballahowin Orrisdale Kirk Michael Isle Of Man IM6 2HP ,Creation of a horse riding arena including the erection of lighting columns,16-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01407/B,19 St Runius Way Glen Vine Isle Of Man IM4 4FH,Erection of an extension to dwelling,13-Jan-15,Head of Development Management,Permitted
14/01408/B,3 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,Alterations and extensions to dwelling (comprising amendments to PA 14/00462/B),13-Jan-15,Head of Development Management,Permitted
14/01409/GB,May Hill House Summerland Ramsey Isle Of Man IM8 2EF,"Demolition of existing outhouse and boiler room, creation of glazed link between existing kitchen and conservatory, re-roofing of existing pantry and extension of existing paved area (In connection with 14/01410/CON)",27-Apr-15,Head of Development Management,Permitted
14/01410/CON,May Hill House Summerland Ramsey Isle Of Man IM8 2EF,"Registered Building consent for the demolition of existing outhouse and boiler room, creation of glazed link between existing kitchen and conservatory, re-roofing of existing pantry and extension of existing paved area (In connection with 14/01409/GB) Reg",27-Apr-15,Head of Development Management,Permitted
14/01411/B,Part Field's 424764 & 424774 Beachcroft Farm  Pooilvaaish Road Castletown Isle Of Man  ,"Creation of a campsite for three safari tents and improvement works to vehicular entrance, car parking and access route",30-Jan-15,Planning Committee,Permitted
14/01412/B,Cregs Weld Ballnahowe Santon Isle Of Man IM4 1HN ,Erection of a replacement general storage building,12-Feb-15,Director Delegation,Permitted
14/01413/B,Unit 25 B  The Village Walk Onchan Isle Of Man IM3 4EB,Conversion of retail unit to a fish and chip restaurant/takeaway including the installation of additional entrance door and extractor flue to side elevation,22-Jan-15,Head of Development Management,Permitted
14/01414/B,Barn & Office Ballaloaghtan Farm Kerrowkeil Road Grenaby Ballasalla Isle Of Man  ,"Conversion of existing agricultural store/office into tourist accommodation (comprising amendments to PA 13/91154/B to incorporate staff accommodation, window opening alterations and two storey extension in lieu of external patio)",14-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01415/B,Apartment 6 Beachmount & Highcliffe Darragh Port Erin Isle Of Man IM9 6JD ,Installation of roof lights,13-Jan-15,Head of Development Management,Permitted
14/01416/B,Yn Conney Shore Road Castletown Isle Of Man IM9 1BF,"Alterations, replacement of garage doors with bi folding doors and erection of extension to dwelling",13-Jan-15,Head of Development Management,Permitted
14/01417/B,Long Meadow Glen Road Ballaugh Isle Of Man IM7 5JB,Erection of a first floor conservatory to existing flat roof terrace,19-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01418/B,14 Albion Terrace Douglas Isle Of Man IM1 3LJ,Repositioning of rear workshop/store door to corner of lanes,30-Jan-15,Withdrawn,Application Withdrawn
14/01419/B,Land Off Station Road  St Johns Isle Of Man  ,Creation of a temporary construction access,26-Feb-15,Planning Committee,Permitted
14/01420/B,Croit E Kirkjufal The Sloc Ballakillowey Road Colby Isle Of Man  ,Refurbishment of existing farmhouse and barns with link extension to create a dwelling with guest annexe and detached garage,08-May-15,Planning Committee,Permitted
14/01421/B,14 Albion Terrace Douglas Isle Of Man IM1 3LJ,Installation of replacement windows to front elevation,19-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01422/A,Field 430359 Glen Moar Corlea Road Grenaby Isle Of Man  ,Approval in principle for the creation of a new agricultural farm holding,13-Feb-15,Planning Committee,Permitted
14/01423/B,43 Ballaquane Park Peel Isle Of Man IM5 1PX,Alterations to existing car port to form a garage and alterations to vehicular access and driveway,13-Jan-15,Head of Development Management,Permitted
14/01424/B,Field Number 124275 Adjacent Ballaleigh Farm Kiondroghad Road Andreas Isle Of Man  ,Erection of an agricultural building and creation of a field access,27-Aug-15,Head of Development Management,Permitted
14/01425/B,Cronk Moar House Dalby Isle Of Man IM5 3BW ,Erection of a porch extension and a detached garage with store over,22-Jan-15,Head of Development Management,Permitted
14/01426/B,Keristal Ballanass Road Lower Foxdale Isle Of Man IM4 3BE,Erection of a detached dwelling and garage (comprising amendments to 09/01887/B),03-Mar-15,Head of Development Management,Permitted
14/01427/GB,1 & 2  Church Cottages St Marks Ballasalla Isle Of Man IM9 3AH ,Installation of replacement front doors (in association with 14/01428/CON),22-Jan-15,Head of Development Management,Permitted
14/01428/CON,1 & 2  Church Cottages St Marks Ballasalla Isle Of Man IM9 3AH ,Registered Building Consent for the installation of replacement front doors (RB no 184 in association with 14/01427/GB),22-Jan-15,Head of Development Management,Permitted
14/01429/B,"Nos. 34, 35, 36A & 36B New Development Adjacent To Cronk Cullyn Colby Isle Of Man  ",Erection of a substation and four detached dwellings with integral garages (comprising partial amendments to PA 13/91392/B),29-Jan-15,Director Delegation,Permitted
14/01430/B,Cleveland House Strand Road Port Erin Isle Of Man IM9 6HD,Installation of replacement windows and doors,19-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01431/B,3 Woodburn Square Douglas Isle Of Man IM1 4DB ,Installation of replacement windows to front elevation,16-Jan-15,Head of Development Management,Permitted
14/01432/B,2 Slegaby Cottages Little Mill Road Onchan Isle Of Man IM4 5BH,Erection of an extension to dwelling,27-Jan-15,Planning Committee,Permitted
14/01433/B,The Pollee Ballagarraghyn Polly Road Jurby Isle Of Man IM7 3EY ,Erection of a two storey extension to side elevation to provide ancillary living accommodation,13-Feb-15,Planning Committee,Permitted
14/01434/B,7 Lhag Mooar Port Erin Isle Of Man IM9 6LY,Erection of a single storey extension to dwelling,23-Jan-15,Head of Development Management,Permitted
14/01435/B,Twin View Douglas Road Ballabeg Castletown Isle Of Man IM9 4EF,"Erection of a single storey extension with roof terrace over, to rear elevation of dwelling",27-Aug-15,Head of Development Management,Permitted
14/01436/B,Field 314294 Staarvey Road Peel Isle Of Man  ,Erection of a commercial polytunnel,22-Jan-15,Senior Planning Officer - South (SC),Permitted
14/01437/B,Field 521895 Between MEA Building And Cooil Road Isle Of Man Business Park Braddan Isle Of Man  ,"Variation of condition 1 of approved application PA 11/00170/B (erection of an office building (Block A) with associated drainage works, car parking and landscaping) in order to extend period of permission by two years",23-Jan-15,Head of Development Management,Permitted
14/01438/B,Old School House & Seagull Hollow Derbyhaven Isle Of Man IM9 1TY,Erection of an extension to replace existing,23-Jan-15,Head of Development Management,Permitted
14/01439/B,29 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ ,Replacement of garage door with a window and erection of a front porch to dwelling,04-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01440/B,1 Bray Hill Douglas Isle Of Man IM2 5EQ,Conversion of existing shop into a hot food takeaway,29-Jan-15,Senior Planning Officer - North (CB),Refused
14/01441/B,Peel Medical Centre Westlands Peel Isle Of Man IM5 1HU ,Erection of extension to form records store,16-Mar-15,Director Delegation,Permitted
14/01442/B,"Part Fields 521888 And 521895, Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  ","Variation of condition one of approved PA 11/00169/B (erection of an office building (Blocks B & C) with associated drainage works, car parking and landscaping) to extend period of permission by two years",23-Jan-15,Head of Development Management,Permitted
14/01443/B,The Cliffs & Cliffside Fairy Cottage Laxey Isle Of Man IM4 7BR ,Replacement of existing flat roof to sunroom with a lean to roof with roof lights,23-Jan-15,Head of Development Management,Permitted
14/01444/B,Belvedere Ballafurt Road Port Erin Isle Of Man IM9 6HP,Erection of a replacement conservatory to rear elevation,23-Jan-15,Head of Development Management,Permitted
14/01445/B,12 River Walk Braddan Douglas Isle Of Man IM4 4TJ,Erection of extension to side elevation,04-Feb-15,Senior Planning Officer - South (SC),Permitted
14/01446/B,6 Ballamaddrell Port Erin Isle Of Man IM9 6BB,"Alteration to front elevation window and installation of canopy, access ramp and platform to provide wheelchair access to property",29-Jan-15,Director Delegation,Permitted
14/01447/B,Hillside View Gordon Peel Isle Of Man IM5 3AR ,Erection of a replacement dwelling (comprising amendments to PA 11/00337/B) including extension to residential curtilage,28-Jan-15,Planning Committee,Permitted
14/01448/B,Part Field 434150 Upper Billown Farm  Grenaby Road Ballasalla Isle Of Man  ,Formation of new access lane and reinstatement and surfacing of part of existing access lane,23-Jan-15,Head of Development Management,Permitted
14/01449/B,6 Oatfield Rise Ballasalla Isle Of Man IM9 2HL,"Alterations, replacement of garage door with a window and erection of rear porch extension to dwelling",29-Jan-15,Director Delegation,Permitted
14/01450/B,Manx Utilities Authority  Ballacottier Headquarters Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ ,Conversion of existing appliance store to changing room/showers and offices including window and door alterations,12-Feb-15,Director Delegation,Permitted
14/01451/B,Mines Cottage Ballakilpheric Road Colby Isle Of Man  ,Alterations and erection of an extension and glazed link,27-Mar-15,Planning Committee,Permitted
