"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"21/01242/C","Change of use of first floor from storage to tourist living accommodation","81 Strand Street Douglas Isle Of Man IM1 2EN","Permitted","25-Feb-22","Principal Planner- North (CB)","2022"
"21/01243/B","Erection of a 2 storey extension to side elevation","Garey Ween Hague Drive Onchan Isle Of Man IM3 1ND","Permitted","09-Feb-22","Head of Development Management","2022"
"21/01244/B","Erection of front porch extension and installation of french doors to rear elevation of existing dwelling and erection of attached annex extension","Hampton Croft Clannagh Road Santon Isle Of Man IM4 2HP ","Application Withdrawn","17-Nov-22","Withdrawn","2022"
"21/01245/B","Excavation works (retrospective), alterations and erection of 2 storey extension","The Gatehouse Coutts House Summerhill Road Onchan Isle Of Man IM3 1NW ","Permitted","12-Sep-22","Principal Planner- North (CB)","2022"
"21/01246/B","Part demolition works and creation of an off road parking area with associated access","Former United Reform Church Waterloo Road Ramsey Isle Of Man IM8 1EG ","Permitted","16-Feb-22","Head of Development Management","2022"
"21/01247/B","Removal of sod bank and creation of vehicular access (retrospective)","Helen May House The Cronk Ballaugh Isle Of Man IM7 5BA ","Deemed withdrawn","19-May-22","Withdrawn","2022"
"21/01249/D","Installation of illuminated signage to front elevation","52 Athol Street Douglas Isle Of Man IM1 1JB","Application Withdrawn","18-Feb-22","Withdrawn","2022"
"21/01250/B","Installation of a polytunnel, tool shed and animal shelter","Field 124530 Ballakeil Meadow Smeale Road Andreas Isle Of Man  ","Permitted","01-Apr-22","Planning Committee","2022"
"21/01252/B","Proposed new games/common room in association with the current tourist units, and creation of a new first floor tourist unit.","Ballaterson Beg  Ballaterson Manor Road Ballaugh Isle Of Man  ","Refused","30-May-22","Principal Planner- North (CB)","2022"
"21/01253/B","Alterations, erection of extension and creation of raised parking and vehicular access","The Mariners South Cape Laxey Isle Of Man IM4 7JB ","Permitted","29-Jul-22","Principal Planner - South (JS)","2022"
"21/01254/B","Alterations and erection of an extension","Windrush Hillberry Road Onchan Isle Of Man IM3 3BQ","Permitted","01-Apr-22","Head of Development Management","2022"
"21/01256/B","Widening of access (retrospective) and the creation of additional hardstanding","1 Windermere Drive Onchan Isle Of Man IM3 2DQ","Permitted","21-Mar-22","Principal Planner - South (JS)","2022"
"21/01258/B","Conversion and extension of existing mill building to form a single dwelling with associated landscaping, garaging and new vehicle entrance","Ballakindry Mill Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD ","Refused","24-May-22","Planning Committee","2022"
"21/01261/B","Alterations and erection of an extension to existing dwelling and erection of a detached garage","Crag Lea Clay Head Road Baldrine Isle Of Man IM4 6DN","Permitted","14-Jan-22","Head of Development Management","2022"
"21/01262/B","Third phase of development consisting of 128 dwellings, a neighbourhood centre with children's nursery and local shop units, and public open space including a children's playground","Field 434091 & Parts Of  Fields 435106 (formerly 432719), 434974 (formerly 434089) And 434090 Adjacent To Railway Terrace, Ballasalla Isle Of Man ","Permitted","27-May-22","Planning Committee","2022"
"21/01263/B","Erection of a double garage","Land Adjoining Ard Reayrt And Rear To Wayside Laxey Isle Of Man  ","Refused","25-Feb-22","Director 2017+","2022"
"21/01264/D","Installation of illuminated & non-illuminated fascia signs, non-illuminated wall mounted sign and replacement panel to existing totem sign","Currys Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR ","Permitted","17-Jan-22","Principal Planner - Enf (AM)","2022"
"21/01265/B","Conversion from leisure facility to retail unit","Cherry Orchard Swimming Pool Bridson Street Port Erin Isle Of Man IM9 6AN ","Permitted","12-Apr-22","Planning Committee","2022"
"21/01267/B","Erection of rear and side extensions to dwelling, and widening of existing driveway and vehicle access.","Ardlamont 8 Y Vaarney Yiarg Castletown Isle Of Man IM9 1HZ ","Permitted","21-Feb-22","Head of Development Management","2022"
"21/01268/B","Erection of front and rear extension.","55 Bemahague Avenue Onchan Isle Of Man IM3 4AP","Refused","28-Jan-22","Head of Development Management","2022"
"21/01269/B","Installation of a replacement shop front","6 Prospect Hill Douglas Isle Of Man IM1 1EJ ","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01270/B","Erection of decking to front the elevation (retrospective)","40 Ballaquark Douglas Isle Of Man IM2 2ET","Refused","25-Jan-22","Principal Planner- North (CB)","2022"
"21/01271/B","Erection of detached garage","1 Church Close Lonan Laxey Isle Of Man IM4 7JY","Permitted","16-Sep-22","Principal Planner- North (CB)","2022"
"21/01273/B","Alterations and extension to existing garage","Fire Station Peel Road Douglas Isle Of Man IM1 5ED","Permitted","09-Feb-22","Head of Development Management","2022"
"21/01274/B","Erection of an agricultural storage building","Field 534374 Creg-Ny-Baa Back Road Creg Ny Baa Onchan Isle Of Man  ","Refused","10-Jan-22","Director 2017+","2022"
"21/01276/B","Alterations and erection of an extension to the rear elevation","2 Summerhill Douglas Isle Of Man IM2 4PJ","Permitted","22-Sep-22","Principal Planner- North (CB)","2022"
"21/01279/B","Proposed alterations to existing conservatory","East Ballabane Smeale Ramsey Isle Of Man IM7 3EB ","Permitted","25-Apr-22","Head of Development Management","2022"
"21/01280/B","Erection of a raised decking area","Upper Ballayack Earystane Colby Isle Of Man IM9 4HN ","Permitted","21-Feb-22","Head of Development Management","2022"
"21/01282/B","Alterations to increase size of window to front elevation and removal of a window to side elevation","Glenfield House Glen Road Colby Isle Of Man IM9 4HW","Permitted","21-Feb-22","Head of Development Management","2022"
"21/01285/C","Change of use of existing warehouse into a leisure facility","Unit 3  Balthane Industrial Estate Ballasalla IM9 2AJ","Permitted","23-Feb-22","Planning Committee","2022"
"21/01287/B","Erection of shed and carport","Laurel Bank Rencell Hill Laxey Isle Of Man IM4 7BJ","Permitted","25-Mar-22","Principal Planner- North (CB)","2022"
"21/01288/B","Erection of raised decking (retrospective)","41 Castlemona Avenue Douglas Isle Of Man IM2 4EB","Refused","12-Jan-22","Head of Development Management","2022"
"21/01289/B","Alteration and alignment of 2 existing farm access points to provide improved access to Farm and farmland, that straddles the A26 Braaid Road, St Marks. A farm track is in included in the proposal to access the main farm buildings/area","Ballavarvane Farm And Fields 435406, 434589 Braaid Road St Marks Ballasalla Isle Of Man IM9 3AP","Permitted","21-Jul-22","Planning Committee","2022"
"21/01290/B","Erection of proposed detached dwelling and integral garages","Water Gardens Jurby Coast Road Jurby West Isle Of Man IM7 3AS ","Permitted","23-Feb-22","Planning Committee","2022"
"21/01292/B","Alterations, erection of a loft extension with associated dormer window","12 Groudle Road Onchan Isle Of Man IM3 2EJ","Refused","11-Jul-22","Head of Development Management","2022"
"21/01295/B","Alterations, erection of a dwelling, conversion of four flats into three dwellings, creation of parking and vehicular access, bicycle / bin store and landscaping","104 Summerhill Road Onchan Isle Of Man IM3 1NJ","Refused","25-Mar-22","Principal Planner- North (CB)","2022"
"21/01299/B","Erection of a single storey extension to rear elevation","6 Close Cam Port Erin Isle Of Man IM9 6NB","Permitted","28-Jan-22","Principal Planner - South (JS)","2022"
"21/01300/CON","Registered Building consent for alterations to Tower roof involving the removal of modern roof and chimney and reinstatement of slate roof, former window, flued stone chimneys, stone gable wall, attic layout and water goods (in association with 21/01301/G","Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","Permitted","10-Jan-22","Principal Planner- North (CB)","2022"
"21/01301/GB","Alterations to Tower roof involving removal of modern roof and chimney and reinstatement of slate roof, dormer window and chimneys (in association with 21/01300/CON)","Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","Permitted","10-Jan-22","Principal Planner- North (CB)","2022"
"21/01302/B","Alterations and erection of extension (Amendment to P/A 18/00007/B)","Mullen Beg Patrick Road Patrick Village Isle Of Man IM5 3AW","Permitted","26-Aug-22","Principal Planner - South (JS)","2022"
"21/01303/B","Erection of a rear extension to dwelling","10 Birch Drive Ballawattleworth Peel Isle Of Man IM5 1WQ ","Permitted","18-Feb-22","Principal Planner- North (CB)","2022"
"21/01304/B","Erection of an extension to rear elevation","3 Ballamaddrell Port Erin Isle Of Man IM9 6AS","Permitted","07-Apr-22","Head of Development Management","2022"
"21/01307/D","Erection of an illuminated projection sign","3 & 3A Ridgeway Street Douglas Isle Of Man IM1 1EW","Permitted","18-Jan-22","Principal Planner- North (CB)","2022"
"21/01308/B","Creation of Viking Settlement for education and entertainment purposes including erection of buildings and means of access","Kattegat Jurby Road Sandygate Ramsey Isle Of Man IM7 3AG ","Permitted","08-Jul-22","Planning Committee","2022"
"21/01311/B","Installation of ground mounted solar array.","Area Of Land Adjacent To Upper Howe Farm Old Castletown Road Douglas Isle Of Man  ","Permitted","23-Feb-22","Planning Committee","2022"
"21/01313/B","Conversion of existing residential and commercial space into retail (class 1.1), tea rooms (class 1.3), restaurant (class 1.3), and tourist accommodation above","Overcliffe The Promenade Port St. Mary Isle Of Man IM9 5DA","Permitted","25-Jan-22","Principal Planner - South (JS)","2022"
"21/01315/B","Installation of ground mounted solar panels and timber fence","Field 314194 Ramsey Road Peel Isle Of Man  ","Permitted","03-May-22","Planning Committee","2022"
"21/01316/B","Temporary siting of four storage containers (for food and drink), platforms, scaffolding and spectator seating during the Isle of Man TT and the Isle of Man Festival of Motorcycling races","Land Adjacent To Glen Moar Mill And Field 315139 Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN ","Permitted","26-Apr-22","Planning Committee","2022"
"21/01317/B","Conversion of disused outbuildings to ancillary living space","Skinscoe Farm Ramsey Road Laxey Isle Of Man IM4 7PP","Permitted","09-Sep-22","Principal Planner- North (CB)","2022"
"21/01318/C","Change of use of ground floor hairdressers to a bar","26 - 27 Loch Promenade (former Windsor Hotel) Douglas Isle Of Man IM1 2LY","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01319/B","Erection of first floor extension above existing garage","48 Governors Hill Douglas Isle Of Man IM2 7AS","Permitted","08-Feb-22","Principal Planner- North (CB)","2022"
"21/01321/B","Erection of garage with storage over (amendment to PA 20/01170/B)","Courtlands 2 Marathon Avenue Douglas Isle Of Man IM2 4HZ","Permitted","08-Feb-22","Head of Development Management","2022"
"21/01324/B","Alterations and erection of ground and first floor extensions","6 Lucerne Court Douglas Isle Of Man IM2 6BJ ","Permitted","14-Feb-22","Principal Planner - South (JS)","2022"
"21/01325/B","Removal of a chimney stack","38 York Road Douglas Isle Of Man IM2 3AX","Permitted","19-Jan-22","Head of Development Management","2022"
"21/01326/B","Erection of 10 dwellings (change of dwelling designs from approved PA 20/01367/B)","Plots 2 - 6, 14 - 17 & 19  Land Adjoining Auldyn Way, Auldyn Walk And Gardeners Lane Ramsey IM10 1MM","Permitted","06-May-22","Planning Committee","2022"
"21/01327/B","Alterations, creation of flat roof over garage (retrospective), replacement dormers, installation of glass balustrade, creation of first floor French doors from existing window and lowering of garden area to create a patio","50 Derby Square Douglas Isle Of Man IM1 3LP","Permitted","19-Jan-22","Head of Development Management","2022"
"21/01328/B","Erection of rear extension","68 Governors Hill Douglas Isle Of Man IM2 7EU","Permitted","04-Feb-22","Head of Development Management","2022"
"21/01329/B","Erection of first floor extension above garage","8 St Marys Meadow Ballaugh Isle Of Man IM7 5AJ","Permitted","04-Mar-22","Head of Development Management","2022"
"21/01332/C","Additional use of summerhouse as self-catering tourist accommodation","Greenbank 33 Mines Road Laxey Isle Of Man IM4 7NH","Refused","07-Mar-22","Director 2017+","2022"
"21/01334/B","Alterations, erection of extension and detached sun room and widening of driveway and vehicular access","2 Birch Hill Avenue Onchan Isle Of Man IM3 4EW","Permitted","02-Mar-22","Principal Planner - Enf (AM)","2022"
"21/01335/B","Conversion of structure to provide retail and takeaway area with associated sheltered seating","6 Cubicles And Huts The Promenade Laxey Isle Of Man IM4 7DD","Permitted","01-Apr-22","Head of Development Management","2022"
