"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"24/01089/CON","Registered Building Consent for demolition elements to PA 24/91080/B The Thirsty Pigeon 38 - 40 Victoria Street Douglas Isle Of Man IM1 2LB ","DOUGLAS","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01089/CON"
"24/01099/CON","Registered Building Consent for demolition aspects to PA 24/91098/B 6 Somerset Road Douglas Isle Of Man IM2 5AD ","DOUGLAS","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01099/CON"
"24/01108/CON","Registered building consent for replacement internal doors at ground and first floor level (RB 187) 9 Victoria Terrace Douglas Isle Of Man IM2 4EU ","DOUGLAS","25 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01108/CON"
"24/90987/B","Installation of bifold door to north elevation, lower ground floor (retrospective) Office Fort Anne South Quay Douglas Isle Of Man IM1 5PD ","DOUGLAS","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/90987/B"
"24/91053/B","Widen driveway and vehicular access 16 Cooil Drive Douglas Isle Of Man IM2 2HB ","DOUGLAS","20 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91053/B"
"24/91056/B","Conversion of part of existing ground floor to create a self-contained apartment Eaton Court 5 - 6 Palace Road Douglas Isle Of Man IM2 4LD ","DOUGLAS","20 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91056/B"
"24/91063/B","Single storey side extension to create garage, loft conversion and internal layout changes. External remodelling and associated landscaping 15 Third Avenue Douglas Isle Of Man IM2 6AL ","DOUGLAS","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91063/B"
"24/91065/B","Erection of detached dwelling and garage including alterations to form additional vehicular access onto the highway Grounds Of Strathallan House (Formerly Calvary House) Strathallan Road Onchan Isle Of Man IM2 4PN  ","DOUGLAS","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91065/B"
"24/91074/B","Installation of replacement windows 22 Athol Street Douglas Isle Of Man IM1 1JA ","DOUGLAS","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91074/B"
"24/91077/B","Creation of dormer window to front elevation Step A Side 13 Third Avenue Douglas Isle Of Man IM2 6AL ","DOUGLAS","20 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91077/B"
"24/91080/B","Conversion of upper floors into six apartments including replacement windows and formation of a bin store The Thirsty Pigeon 38 - 40 Victoria Street Douglas Isle Of Man IM1 2LB ","DOUGLAS","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91080/B"
"24/91098/B","Demolition of 2no chimneys and installation of 2no windows and 1no rooflight all to side elevation + replacement of 1 rooflight to front elevation (retrospective) (in association with 24/91099CON) 6 Somerset Road Douglas Isle Of Man IM2 5AD ","DOUGLAS","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91098/B"
"24/90954/B","Erection of a replacement dwelling, extension to garage and increase in residential curtilage Thie Ny Crossag (Formerly Glen Mona Bungalow) And Part Field 624282 Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG ","GARFF","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/90954/B"
"24/90997/B","Variation of Condition 1 to PA 22/01558/REM (Erection of a dwelling) for an extension of time for a further four years Fields 624255 & 624256 Glen Mona Loop Road Glen Mona Ramsey Isle Of Man  ","GARFF","28 Aug 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/90997/B"
"24/91095/B","Installation of replacement windows and rear doors 1-10 Glen Road Terrace & 1-2 Glen Road Terrace Bungalows Laxey Isle Of Man IM4 7AD ","GARFF","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91095/B"
"24/91048/B","Installation of a borehole in a position different to that approved under 19/01283/B, installation of a second borehole, creation of washdown area and installation of partly subterranean water tank (partially retrospective) Land Forming Part Of Golf Course Derbyhaven Road Derbyhaven Isle Of Man  ","MALEW","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91048/B"
"24/91052/B","Installation of additional windows, vents and flue and mezzanine floor and additional use for light industrial (class 2.2) for commercial bakery without retail elements 78 Balthane Park Balthane Ballasalla Isle Of Man IM9 2AX ","MALEW","19 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91052/B"
"24/91082/B","Installation of a mezzanine floor and an extractor hood cover to rear elevation Unit 19 Trafalgar Park Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2RA ","MALEW","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91082/B"
"24/91088/B","Erection of single storey extension to north elevation (retrospective) Clougher Veg Wigan Lane Ballamodha Ballasalla Isle Of Man IM9 3EP ","MALEW","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91088/B"
"24/91059/B","Conversion of existing outbuildings into a dwelling with additional use as tourist accommodation Existing Outbuildings  Ballaleigh Farm Ballaleigh Road Kirk Michael IM6 1HJ ","MICHAEL","19 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91059/B"
"24/91091/B","Removal of a chimney stack, door / window alterations, erection of an extension and erection of a detached garage to replace existing Reneurling Douglas Road Kirk Michael Isle Of Man IM6 1AU ","MICHAEL","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91091/B"
"24/91015/B","Roof, window / door alterations and erection of garage extension (partial retrospective) Farmhouse Bibaloe Moar Whitebridge Hill Onchan Isle Of Man IM4 5AE ","ONCHAN","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91015/B"
"24/91073/C","Change of use from class 2.3 (Industrial) to class 4.2 (childcare or education) and 4.4 (assembly and leisure) to create a family play facility Unit 16 Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4RG ","ONCHAN","23 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91073/C"
"24/91043/B","Siting of steel shipping container for the storage of shellfish Manesca Building The Quay Port St Mary Isle Of Man IM9 5EA ","PORT ST MARY","24 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91043/B"
"24/00814/B","Insertion of access gate into rear wall of property (amendment to PA 23/00246/B; in association with 24/91113/CON) 10 Albert Street Ramsey Isle Of Man IM8 1JF ","RAMSEY","25 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00814/B"
"24/01113/CON","Registered Building Consent for demolition aspects to 24/00814/B 10 Albert Street Ramsey Isle Of Man IM8 1JF ","RAMSEY","25 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01113/CON"
"24/91085/B","Loft space conversion with side dormer window (South West elevation) and erection of a replacement garage 12 Ash Grove Ramsey Isle Of Man IM8 3HT ","RAMSEY","20 Sep 2024","2024-09-27","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91085/B"
"24/90966/B","Change of use of land to create a camp site with associated access tracks, hard standings, motorhome and tent pitches, reception and temporary communal facilities Field 124689 West Kimmeragh Road Bride Isle Of Man IM7 4BB ","ANDREAS","12 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/90966/B"
"24/91023/B","Installation of new flue in roof. 50 Friary Park Ballabeg Isle Of Man IM9 4EN ","ARBORY","13 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91023/B"
"24/90953/B","Installation of a steel canopy to Southern elevation of Jackson House and louvred grilles to both buildings for the creation of a primary school, landscaping works to provide playground facilities and erection of boundary fencing Jackson House And Stenning Building King Williams College King Williams College Grounds Castletown Isle Of Man  ","CASTLETOWN","18 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/90953/B"
"24/01041/CON","Registered building consent for installation of non-illuminated signage - RB226 (in association with application 24/01044/D) Ridgeway House Ridgeway Street Douglas Isle Of Man IM1 1EL ","DOUGLAS","16 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01041/CON"
"24/01044/D","Installation of non-illuminated signage (in association with PA 24/01041/CON) Ridgeway House Ridgeway Street Douglas Isle Of Man IM1 1EL ","DOUGLAS","16 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01044/D"
"24/01072/CON","Registered Building Consent for demolition aspects to 24/91039/B 15 Hatfield Grove Douglas Isle Of Man IM1 3HE ","DOUGLAS","13 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01072/CON"
"24/91045/B","Installation of raised decking (retrospective) The Maples 23 Vicarage Park Douglas Isle Of Man IM2 2QD ","DOUGLAS","12 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91045/B"
"24/91054/B","Erection of a replacement extension to north east elevation and creation of off road parking from rear lane 14 Westbourne Drive Douglas Isle Of Man IM1 4AZ ","DOUGLAS","12 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91054/B"
"24/91086/B","Installation of replacement windows 31 Derby Square Douglas Isle Of Man IM1 3LW ","DOUGLAS","17 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91086/B"
"24/91060/B","Replace existing double doors with a single door with sidelights and replace separate existing single door both to front elevation 1 Mill Cottages Mill Road Ballasalla Isle Of Man IM9 2EG ","MALEW","18 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91060/B"
"24/91069/B","Erection of garden shed and polytunnel The Elms Westmead Glen Vine Isle Of Man IM4 4BB ","MAROWN","18 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91069/B"
"24/91050/B","Variation of Condition 1 of PA 20/00688/B to extend time limit for commencement of works 35 Auburn Road Onchan Isle Of Man IM3 1LP ","ONCHAN","18 Sep 2024","2024-09-20","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91050/B"
