"Name","Town"
"Thirlmere Avenue","Onchan"
"Tholt Y Will","Lezayre"
"Tholt Y Will","Sulby"
"Tholt Y Will","Sulby Glen"
"Tholt-Y-Will","Lezayre"
"Tholt-Y-Will","Lezayre And Ballaugh"
"Tholt-Y-Will","Sulby Glen"
"Thomas Keig Road","Douglas"
"Thornhill Close","Port Erin"
"Thornhill Close","Ramsey"
"Thornhill Park","Ramsey"
"Thornton Avenue","Douglas"
"Thorny Road","Douglas"
"Three Roads","Arbory"
"Thurot Cottage Road","Bride"
"Tickle Close","Arbory"
"Tickle Close","Ballabeg"
"Tickle Close Access","Ballabeg"
"To The South Side Of Bridge End Road","Andreas"
"Tommy Clucas Avenue","Peel"
"Top Crosby Road","Marown"
"Top Lodge","Castletown"
"Top Road","Crosby"
"Top Road","Marown"
"Tosaby Road","Ballasalla"
"Tosaby Road","Eairy"
"Tosaby Road","Foxdale"
"Tosaby Road","Malew"
"Tosaby Road","St Marks"
"Tossaby Road","Foxdale"
"Tower Farm","Ramsey"
"Tower Road","Port Erin"
"Tower Road","Ramsey"
"Tower Street","Ramsey"
"Towerside Court","Ramsey"
"Traaie Meanagh Drive","Port Erin"
"Trafalgar Park","Ballasalla"
"Traie Meanagh","Port Erin"
"Traie Meanagh Drive","Port Erin"
"Traie Twoaie","Ramsey"
"Tranent","Lezayre"
"Treljah Lane","Glen Maye"
"Treljah Lane","Patrick"
"Trollaby Lane","Braddan"
"Trollaby Lane","Union Mills"
"Tromode","Braddan"
"Tromode","Douglas"
"Tromode Business Park","Braddan"
"Tromode Close","Douglas"
"Tromode Green","Douglas"
"Tromode Green","Onchan"
"Tromode Heights","Douglas"
"Tromode Heights","Tromode"
"Tromode Park","Douglas"
"Tromode Park Cottages","Douglas"
"Tromode Road","Douglas"
"Tromode Woods","Braddan"
"Tromode Woods","Douglas"
"Truggan Close","Port Erin"
"Truggan Road","Port St Mary"
"Tuppers Terrace","Laxey"
"Turnberry Avenue","Onchan"
"Two Plots Of Land","Onchan"
"Tynwald","Douglas"
"Tynwald Close","Peel"
"Tynwald Fair Ground, Tynwald Hill And St John's Church/Chapel","St Johns"
"Tynwald Mills","St Johns"
"Tynwald Road","Peel"
"Tynwald Street","Douglas"
"Tyson Terrace","Ballasalla"
"Union Lane","Ramsey"
"Union Mills","Braddan"
"Union Mills Industrial Estate","Braddan"
"Union Mills Industrial Estate","Union Mills"
"Union Mills Trading Estate","Braddan"
"Upper And Lower Ballanorris","Malew"
"Upper Ballacrye","Jurby"
"Upper Balladhoo","Baldrine"
"Upper Ballastrooan","Colby"
"Upper Church Street","Douglas"
"Upper Claughbane","Maughold"
"Upper Cronk Orry","Laxey"
"Upper Cronk Orry","Lonan"
"Upper Dukes Road","Douglas"
"Upper Nunnery Howe","Braddan"
"Upper Packhorse Lane","Baldrine"
"Upper Promenade","Port Erin"
"Upper Pulrose","Douglas"
"Upper Rencell","Laxey"
"Upper Rencell Hill","Laxey"
"Upper Rencil Hill","Laxey"
"Upper Rhenny Farm","Archallaghan"
"Vanes Lane","Foxdale"
"Vernon Road","Ramsey"
"Vicarage Mews","Douglas"
"Vicarage Park","Braddan"
"Vicarage Park","Douglas"
"Vicarage Rise","Braddan"
"Vicarage Road","Braddan"
"Vicarage Road","Douglas"
"Victoria Avenue","Douglas"
"Victoria Avenue","Onchan"
"Victoria Buildings","Ramsey"
"Victoria Court, Victoria Road","Douglas"
"Victoria Manor","Douglas"
"Victoria Park","Douglas"
"Victoria Place","Douglas"
"Victoria Road","Castletown"
"Victoria Road","Douglas"
"Victoria Road","Foxdale"
"Victoria Road","Port St Mary"
"Victoria Road And Glencrutchery Road","Douglas"
"Victoria Road Business Park","Douglas"
"Victoria Square","Port Erin"
"Victoria Street","Douglas"
"Victoria Street","Onchan"
"Victoria Terrace","Douglas"
"Victoria Terrace","Laxey"
"Victoria Terrace","Peel"
"Victoria Way","Castletown"
"Victory House Car Park","Douglas"
"Viking Close","Ballakillowey"
"Viking Close","Colby"
"Viking Close","Rushen"
"Viking Complex","Ramsey"
"Viking Hill","Colby"
"Viking Hill","Rushen"
"Village Walk","Onchan"
"Vollan Close","Ramsey"
"Vollan Crescent","Ramsey"
"Wallberry Mews","Braddan"
"Wallberry Mews","Douglas"
"Walpole Avenue","Douglas"
"Walpole Close","Ramsey"
"Walpole Drive","Ramsey"
"Walpole Drive And Ballure Road","Ramsey"
"Walpole House","Peel"
"Walpole Road","Peel"
"Walpole Road","Ramsey"
"Walton House","Ballasalla"
"Warehouse","Braddan"
"Warehouse","Douglas"
"Water Street","Ramsey"
"Water Treatment Works","Douglas"
"Waterfall Barn","Glen Maye"
"Waterloo Road","Ramsey"
"Watterson Road","Ballasalla"
"Waverley Road","Douglas"
"Waverley Terrace","Douglas"
"Waverley Terrace","Ramsey"
"Wellington House","Ramsey"
"Wentworth Close","Onchan"
"Wesley Court","Lonan"
"Wesley Terrace","Ballasalla"
"Wesley Terrace","Douglas"
"West Baldwin","Baldwin"
"West Baldwin","Braddan"
"West Baldwin","Marown"
"West Baldwin Road","Braddan"
"West Baldwin Road","Douglas"
"West Baldwin Road","Marown"
"West Baldwin Road","Mount Rule"
"West Baldwin Road","West Baldwin"
"West Craig","Andreas"
"West Craig","St Judes"
"West Craig Loop Road","Andreas"
"West Kella Back Road","Sulby"
"West Kella Road","Sulby"
"West Kimmeragh","Bride"
"West Kimmeragh Road","Bride"
"West Loughan","Jurby"
"West Loughin","Jurby"
"West Nappin","Jurby"
"West Nappin Farm","Jurby"
"West Of Garey Road","Lezayre"
"West Quay","Ramsey"
"West Street","Ramsey"
"West View","Lower Foxdale"
"West View","Peel"
"West View Cottages","Lower Foxdale"
"Westbourne Close","Ramsey"
"Westbourne Drive","Douglas"
"Westbourne Drive Lane","Douglas"
"Westbourne Road","Ramsey"
"Western Avenue","Douglas"
"Westfield Drive","Ramsey"
"Westham","Castletown"
"Westham Court","Castletown"
"Westham Lea","Castletown"
"Westhill","Castletown"
"Westhill","Ramsey"
"Westhill Village","Ramsey"
"Westlands","Peel"
"Westlands Avenue","Ramsey"
"Westlands Close","Ramsey"
"Westmead","Glen Vine"
"Westminster Drive","Douglas"
"Westminster Terrace","Douglas"
"Westmoreland Road","Douglas"
"Westmount","Douglas"
"Wheel Hill","Laxey"
"White Hoe Cottages","Kewaigue"
"White Strand","German"
"Whitebridge Avenue","Ramsey"
"Whitebridge Hill","Onchan"
"Whitebridge Road","Onchan"
"Whitehouse Cottage","Kirk Michael"
"Whitehouse Cottages","Kirk Michael"
"Whitehouse Cottages","Michael"
"Whitehouse Road Off Main Road","Kirk Michael"
"Whitestone","Kirk Michael"
"Wigan Lane","Ballamodha"
"Wigan Lane","Ballasalla"
"Wigan Lane","Malew"
"Willaston","Douglas"
"William Proctor Court","Douglas"
"Willow Close","Onchan"
"Willow Close","Peel"
"Willow Court","Douglas"
"Willow Lane","Eairy"
"Willow Terrace","Douglas"
"Willowbrook Gardens","Braddan"
"Willowbrook Gardens","Douglas"
"Windermere Avenue","Onchan"
"Windermere Drive","Onchan"
"Windmill Cottage","Kirk Michael"
"Windor Road","Douglas"
"Windosr Mount","Ramsey"
"Windsor Court","Douglas"
"Windsor Grove","Ramsey"
"Windsor Heights","Onchan"
"Windsor House","Port Erin"
"Windsor Mount","Ramsey"
"Windsor Road","Douglas"
"Windsor Road","Ramsey"
"Windsor Road And Coburg Road","Ramsey"
"Windsor Terrace","Douglas"
"Windsor Terrace","Ramsey"
"Withington Road","Douglas"
"Wood View Court","Peel"
"Woodbourne Court","Douglas"
"Woodbourne Lane","Douglas"
"Woodbourne Road","Douglas"
"Woodbourne Road Lane","Douglas"
"Woodbourne Square","Douglas"
"Woodburn Square","Douglas"
"Woodland Heights","Onchan"
"Woodlands Avenue","Douglas"
"Woodlands Close","Douglas"
"Woodlands View","Douglas"
"Woodlea Villas","Crosby"
"Woodlea Villas","Marown"
"Woodleigh Villas","Crosby"
"Woodside Terrace","Douglas"
"Woodville Terrace","Douglas"
"Wyborn Grove","Onchan"
"Wybourn Drive","Onchan"
"Wybourn Grove","Onchan"
"Wybourn View","Onchan"
"Y Vaarney Yiag","Castletown"
"Y Vaarney Yiarg","Castletown"
"Yn-Aittin-Vooar","Jurby"
"York Road","Douglas"
